Ticker,Price,Open Interest
BTCUSDT,15715.00,127599.668
ETHUSDT,1090.45,1206098.041
BCHUSDT,104.96,459507.941
XRPUSDT,0.3538,254468065.2
EOSUSDT,0.842,27292911.1
LTCUSDT,61.95,1245899.287
TRXUSDT,0.05124,745269841
ETCUSDT,17.696,2425270.58
LINKUSDT,5.861,8568603.07
XLMUSDT,0.08320,166366113
ADAUSDT,0.30210,167497845
XMRUSDT,126.68,92239.892
DASHUSDT,35.10,196522.217
ZECUSDT,37.37,182401.521
XTZUSDT,0.921,9471432.3
BNBUSDT,253.810,481374.20
ATOMUSDT,8.776,3067560.19
ONTUSDT,0.1662,24373614.8
IOTAUSDT,0.2081,17760318.1
BATUSDT,0.2145,13860442.9
VETUSDT,0.017370,349397745
NEOUSDT,6.354,810622.98
QTUMUSDT,1.952,1236637
IOSTUSDT,0.007787,370972135
THETAUSDT,0.8122,10300260.2
ALGOUSDT,0.2299,84846920.7
ZILUSDT,0.02047,228467315
KNCUSDT,0.54290,9322519
ZRXUSDT,0.1760,11996879.9
COMPUSDT,36.59,198716.677
OMGUSDT,1.0510,4208169.2
DOGEUSDT,0.074120,1118040162
SXPUSDT,0.2122,22980218.6
KAVAUSDT,0.8427,6183899.5
BANDUSDT,1.5848,6619364.8
RLCUSDT,1.1584,13353439
WAVESUSDT,2.0660,4418051.8
MKRUSDT,628.70,9651.119
SNXUSDT,1.592,5596357.5
DOTUSDT,5.039,14584471.4
DEFIUSDT,470.6,2267.714
YFIUSDT,5924.0,1266.141
BALUSDT,4.984,612993.2
CRVUSDT,0.450,38264985
TRBUSDT,10.240,357001.5
RUNEUSDT,1.0770,5574591
SUSHIUSDT,1.1120,10991946
EGLDUSDT,39.620,0
SOLUSDT,11.4120,7230459
ICXUSDT,0.1529,12993327
STORJUSDT,0.3110,21435208
BLZUSDT,0.05534,45309788
UNIUSDT,5.0170,3693277
AVAXUSDT,11.5900,3389311
FTMUSDT,0.166800,73165196
HNTUSDT,2.1480,1852526
ENJUSDT,0.27800,12366375
FLMUSDT,0.0741,35550143
TOMOUSDT,0.2805,6278274
RENUSDT,0.07138,43903973
KSMUSDT,23.730,218139.4
NEARUSDT,1.5250,21725417
AAVEUSDT,54.060,308001.1
FILUSDT,4.130,5837488.8
RSRUSDT,0.003623,1353290662
LRCUSDT,0.22390,22844072
MATICUSDT,0.78480,85951575
OCEANUSDT,0.11712,21737882
CVCUSDT,0.09099,22882835
BELUSDT,0.37890,6229678
CTKUSDT,0.72690,3226038
AXSUSDT,6.18500,2784551
ALPHAUSDT,0.08143,25481198
ZENUSDT,8.542,391489.6
SKLUSDT,0.02405,80523733
GRTUSDT,0.05211,93020023
1INCHUSDT,0.5061,11297716
CHZUSDT,0.17143,310048680
SANDUSDT,0.52320,29775507
ANKRUSDT,0.020340,129043929
LITUSDT,0.636,0
UNFIUSDT,3.853,1617158.6
REEFUSDT,0.002716,2081820579
RVNUSDT,0.01971,222172338
SFPUSDT,0.4648,28433036
XEMUSDT,0.0307,110662425
COTIUSDT,0.06682,0
CHRUSDT,0.1044,31284063
MANAUSDT,0.3648,31438911
ALICEUSDT,1.094,3496485.4
HBARUSDT,0.04514,112453813
ONEUSDT,0.01299,296053252
LINAUSDT,0.00543,432330344
STMXUSDT,0.00479,292101194
DENTUSDT,0.000632,2717683004
CELRUSDT,0.01069,162348799
HOTUSDT,0.001423,2527970509
MTLUSDT,0.6580,3417800
OGNUSDT,0.0925,32476966
NKNUSDT,0.07182,27642572
DGBUSDT,0.00661,0
1000SHIBUSDT,0.008292,2757720840
BAKEUSDT,0.1709,15674515
GTCUSDT,1.494,1925207.3
BTCDOMUSDT,1319.2,4612.964
IOTXUSDT,0.02222,0
AUDIOUSDT,0.1390,18304359
C98USDT,0.2241,0
MASKUSDT,2.3540,7572132
ATAUSDT,0.0967,23089448
DYDXUSDT,1.719,17602666.9
1000XECUSDT,0.02755,70651574
GALAUSDT,0.02427,403244409
CELOUSDT,0.453,8749065.4
ARUSDT,8.753,791233.8
KLAYUSDT,0.1568,74918820.7
ARPAUSDT,0.02512,93931441
CTSIUSDT,0.0973,16361928
LPTUSDT,6.877,223922.8
ENSUSDT,11.755,674859.7
PEOPLEUSDT,0.02087,554294923
ANTUSDT,1.798,1501658.8
ROSEUSDT,0.04330,101352921
DUSKUSDT,0.08155,17788692
FLOWUSDT,1.088,3971138.5
IMXUSDT,0.3893,13046279
API3USDT,1.3380,1352311.4
GMTUSDT,0.35380,51882315
APEUSDT,2.8650,8870318
BNXUSDT,160.4100,234457.6
WOOUSDT,0.10348,37318123
JASMYUSDT,0.003591,0
DARUSDT,0.1217,11448057.5
GALUSDT,1.24300,3329419
OPUSDT,0.8113000,27628564.6
INJUSDT,1.470000,2782371.4
STGUSDT,0.4249000,12314697
FOOTBALLUSDT,701.07000,12491.72
SPELLUSDT,0.0005894,1962662013
1000LUNCUSDT,0.1494000,59385347
LUNA2USDT,1.4608000,3944706
LDOUSDT,1.074900,5719073
CVXUSDT,3.507000,606506
ICPUSDT,3.579000,1062994
APTUSDT,3.91380,6513511.1
QNTUSDT,101.340000,47854.6
BLUEBIRDUSDT,6.76500,49763
DODOBUSD,0.1089000,13262375
ANCBUSD,0.0486200,44615661
LEVERBUSD,0.0011594,1175177881
AUCTIONBUSD,4.3470000,162879.9
AMBBUSD,0.0126860,317714565
PHBBUSD,0.6833000,18326420
