Ticker,Price,Open Interest
BTCUSDT,15720.60,127415.909
ETHUSDT,1089.99,1206187.475
BCHUSDT,105.20,461167.666
XRPUSDT,0.3546,253929729.4
EOSUSDT,0.842,27293225.2
LTCUSDT,62.16,1247149.054
TRXUSDT,0.05123,744896966
ETCUSDT,17.724,2422628.74
LINKUSDT,5.889,8531462.54
XLMUSDT,0.08319,166371169
ADAUSDT,0.30230,167456154
XMRUSDT,126.80,92079.485
DASHUSDT,35.07,197252.961
ZECUSDT,37.48,183007.888
XTZUSDT,0.921,9473031
BNBUSDT,253.670,481140.32
ATOMUSDT,8.784,3084070.45
ONTUSDT,0.1666,24332307.7
IOTAUSDT,0.2082,17738372.8
BATUSDT,0.2146,13840593.7
VETUSDT,0.017400,349393349
NEOUSDT,6.361,807690.41
QTUMUSDT,1.954,1235627
IOSTUSDT,0.007805,371099887
THETAUSDT,0.8125,10309619.9
ALGOUSDT,0.2305,84758063.7
ZILUSDT,0.02050,228789749
KNCUSDT,0.54420,9322259
ZRXUSDT,0.1762,11996445.2
COMPUSDT,36.62,198543.950
OMGUSDT,1.0510,4210533.6
DOGEUSDT,0.074240,1112998899
SXPUSDT,0.2121,23026553.6
KAVAUSDT,0.8455,6241825.2
BANDUSDT,1.5881,6656663.8
RLCUSDT,1.1710,13424182
WAVESUSDT,2.0660,4444267.9
MKRUSDT,629.50,9638.801
SNXUSDT,1.594,5589406.1
DOTUSDT,5.040,14599618.2
DEFIUSDT,471.1,2264.156
YFIUSDT,5931.0,1267.090
BALUSDT,4.994,612785.1
CRVUSDT,0.447,38613656.2
TRBUSDT,10.240,356976.3
RUNEUSDT,1.0760,5569459
SUSHIUSDT,1.1160,11011801
EGLDUSDT,39.680,0
SOLUSDT,11.4480,7231873
ICXUSDT,0.1533,12947498
STORJUSDT,0.3121,21374393
BLZUSDT,0.05532,45236712
UNIUSDT,5.0260,3696880
AVAXUSDT,11.5940,3389868
FTMUSDT,0.166700,73371858
HNTUSDT,2.1550,1846853
ENJUSDT,0.27840,12387657
FLMUSDT,0.0742,35593239
TOMOUSDT,0.2813,6279891
RENUSDT,0.07149,44048771
KSMUSDT,23.720,218343.1
NEARUSDT,1.5330,21731553
AAVEUSDT,53.660,307549.5
FILUSDT,4.130,5840775.3
RSRUSDT,0.003625,1357187470
LRCUSDT,0.22390,22881376
MATICUSDT,0.78640,85917615
OCEANUSDT,0.11734,21774309
CVCUSDT,0.09108,22851055
BELUSDT,0.37920,6264933
CTKUSDT,0.72740,3220237
AXSUSDT,6.18800,2782138
ALPHAUSDT,0.08147,25475538
ZENUSDT,8.555,390169.9
SKLUSDT,0.02412,80523018
GRTUSDT,0.05221,93320508
1INCHUSDT,0.5061,11309561
CHZUSDT,0.17210,308109680
SANDUSDT,0.52310,29875132
ANKRUSDT,0.020410,128846133
LITUSDT,0.636,0
UNFIUSDT,3.858,1617695.8
REEFUSDT,0.002718,2083355904
RVNUSDT,0.01974,222257456
SFPUSDT,0.4676,28461109
XEMUSDT,0.0305,111216450
COTIUSDT,0.06689,0
CHRUSDT,0.1047,31242236
MANAUSDT,0.3653,31418026
ALICEUSDT,1.096,3508134.7
HBARUSDT,0.04521,112497382
ONEUSDT,0.01302,295254654
LINAUSDT,0.00544,432370832
STMXUSDT,0.00482,289647860
DENTUSDT,0.000632,2707879248
CELRUSDT,0.01071,162310260
HOTUSDT,0.001426,2531945470
MTLUSDT,0.6581,3401643
OGNUSDT,0.0927,32457043
NKNUSDT,0.07203,27613888
DGBUSDT,0.00661,0
1000SHIBUSDT,0.008317,2764478006
BAKEUSDT,0.1711,15649097
GTCUSDT,1.496,1921551.8
BTCDOMUSDT,1319.3,4610.102
IOTXUSDT,0.02224,0
AUDIOUSDT,0.1388,18418692
C98USDT,0.2246,0
MASKUSDT,2.3630,7564718
ATAUSDT,0.0970,23057836
DYDXUSDT,1.728,17543882.4
1000XECUSDT,0.02758,70184974
GALAUSDT,0.02435,403404006
CELOUSDT,0.455,8713516.9
ARUSDT,8.782,790974.2
KLAYUSDT,0.1571,74878296.7
ARPAUSDT,0.02518,94120338
CTSIUSDT,0.0977,16324498
LPTUSDT,6.900,223323.5
ENSUSDT,11.810,673867.4
PEOPLEUSDT,0.02091,554590109
ANTUSDT,1.802,1504173.8
ROSEUSDT,0.04332,101360755
DUSKUSDT,0.08162,17793329
FLOWUSDT,1.090,3969165
IMXUSDT,0.3902,13049379
API3USDT,1.3400,1349778.9
GMTUSDT,0.35460,51959183
APEUSDT,2.8590,8823214
BNXUSDT,160.3500,234663.5
WOOUSDT,0.10348,37333567
JASMYUSDT,0.003597,0
DARUSDT,0.1222,11437740.9
GALUSDT,1.24590,3332303
OPUSDT,0.8127000,27717661.5
INJUSDT,1.470000,2782222.9
STGUSDT,0.4244000,12469567
FOOTBALLUSDT,703.46000,12534.80
SPELLUSDT,0.0005888,1956095912
1000LUNCUSDT,0.1497000,59536172
LUNA2USDT,1.4645000,3946439
LDOUSDT,1.076800,5705284
CVXUSDT,3.501000,608016
ICPUSDT,3.583000,1065748
APTUSDT,3.92410,6504979.9
QNTUSDT,101.830000,47789.3
BLUEBIRDUSDT,6.76600,49744.2
DODOBUSD,0.1093000,13308048
ANCBUSD,0.0483300,44508278
LEVERBUSD,0.0011586,1179146798
AUCTIONBUSD,4.3510000,161936.5
AMBBUSD,0.0127990,320261064
PHBBUSD,0.6774000,17885852
